Date,UVIX_OPEN,UVIX_CLOSE,UVIX_CTO_RETURN,UVIX_OTC_RETURN,UVIX_RETURN,UVIX_CC_RETURN_REBUILT,UVIX_SOURCE,UVIX_PROXY_SOURCE
2004-04-01,,,,,,,missing,VIX
2004-04-02,,,,,,,missing,VIX
2004-04-05,,,,,,,missing,VIX
2004-04-06,,,,,,,missing,VIX
2004-04-07,,,,,,,missing,VIX
2004-04-08,,,,,,,missing,VIX
2004-04-12,,,,,,,missing,VIX
2004-04-13,,,,,,,missing,VIX
2004-04-14,,,,,,,missing,VIX
2004-04-15,,,,,,,missing,VIX
2004-04-16,,,,,,,missing,VIX
2004-04-19,,,,,,,missing,VIX
2004-04-20,,,,,,,missing,VIX
2004-04-21,,,,,,,missing,VIX
2004-04-22,,,,,,,missing,VIX
2004-04-23,,,,,,,missing,VIX
2004-04-26,,,,,,,missing,VIX
2004-04-27,,,,,,,missing,VIX
2004-04-28,,,,,,,missing,VIX
2004-04-29,,,,,,,missing,VIX
2004-04-30,,,,,,,missing,VIX
2004-05-03,,,,,,,missing,VIX
2004-05-04,,,,,,,missing,VIX
2004-05-05,,,,,,,missing,VIX
2004-05-06,,,,,,,missing,VIX
2004-05-07,,,,,,,missing,VIX
2004-05-10,,,,,,,missing,VIX
2004-05-11,,,,,,,missing,VIX
2004-05-12,,,,,,,missing,VIX
2004-05-13,,,,,,,missing,VIX
2004-05-14,,,,,,,missing,VIX
2004-05-17,,,,,,,missing,VIX
2004-05-18,,,,,,,missing,VIX
2004-05-19,,,,,,,missing,VIX
2004-05-20,,,,,,,missing,VIX
2004-05-21,,,,,,,missing,VIX
2004-05-24,,,,,,,missing,VIX
2004-05-25,,,,,,,missing,VIX
2004-05-26,,,,,,,missing,VIX
2004-05-27,,,,,,,missing,VIX
2004-05-28,,,,,,,missing,VIX
2004-06-01,,,,,,,missing,VIX
2004-06-02,,,,,,,missing,VIX
2004-06-03,,,,,,,missing,VIX
2004-06-04,,,,,,,missing,VIX
2004-06-07,,,,,,,missing,VIX
2004-06-08,,,,,,,missing,VIX
2004-06-09,,,,,,,missing,VIX
2004-06-10,,,,,,,missing,VIX
2004-06-14,,,,,,,missing,VIX
2004-06-15,,,,,,,missing,VIX
2004-06-16,,,,,,,missing,VIX
2004-06-17,,,,,,,missing,VIX
2004-06-18,,,,,,,missing,VIX
2004-06-21,,,,,,,missing,VIX
2004-06-22,,,,,,,missing,VIX
2004-06-23,,,,,,,missing,VIX
2004-06-24,,,,,,,missing,VIX
2004-06-25,,,,,,,missing,VIX
2004-06-28,,,,,,,missing,VIX
2004-06-29,,,,,,,missing,VIX
2004-06-30,,,,,,,missing,VIX
2004-07-01,,,,,,,missing,VIX
2004-07-02,,,,,,,missing,VIX
2004-07-06,,,,,,,missing,VIX
2004-07-07,,,,,,,missing,VIX
2004-07-08,,,,,,,missing,VIX
2004-07-09,,,,,,,missing,VIX
2004-07-12,,,,,,,missing,VIX
2004-07-13,,,,,,,missing,VIX
2004-07-14,,,,,,,missing,VIX
2004-07-15,,,,,,,missing,VIX
2004-07-16,,,,,,,missing,VIX
2004-07-19,,,,,,,missing,VIX
2004-07-20,,,,,,,missing,VIX
2004-07-21,,,,,,,missing,VIX
2004-07-22,,,,,,,missing,VIX
2004-07-23,,,,,,,missing,VIX
2004-07-26,,,,,,,missing,VIX
2004-07-27,,,,,,,missing,VIX
2004-07-28,,,,,,,missing,VIX
2004-07-29,,,,,,,missing,VIX
2004-07-30,,,,,,,missing,VIX
2004-08-02,,,,,,,missing,VIX
2004-08-03,,,,,,,missing,VIX
2004-08-04,,,,,,,missing,VIX
2004-08-05,,,,,,,missing,VIX
2004-08-06,,,,,,,missing,VIX
2004-08-09,,,,,,,missing,VIX
2004-08-10,,,,,,,missing,VIX
2004-08-11,,,,,,,missing,VIX
2004-08-12,,,,,,,missing,VIX
2004-08-13,,,,,,,missing,VIX
2004-08-16,,,,,,,missing,VIX
2004-08-17,,,,,,,missing,VIX
2004-08-18,,,,,,,missing,VIX
2004-08-19,,,,,,,missing,VIX
2004-08-20,,,,,,,missing,VIX
2004-08-23,,,,,,,missing,VIX
2004-08-24,,,,,,,missing,VIX
2004-08-25,,,,,,,missing,VIX
2004-08-26,,,,,,,missing,VIX
2004-08-27,,,,,,,missing,VIX
2004-08-30,,,,,,,missing,VIX
2004-08-31,,,,,,,missing,VIX
2004-09-01,,,,,,,missing,VIX
2004-09-02,,,,,,,missing,VIX
2004-09-03,,,,,,,missing,VIX
2004-09-07,,,,,,,missing,VIX
2004-09-08,,,,,,,missing,VIX
2004-09-09,,,,,,,missing,VIX
2004-09-10,,,,,,,missing,VIX
2004-09-13,,,,,,,missing,VIX
2004-09-14,,,,,,,missing,VIX
2004-09-15,,,,,,,missing,VIX
2004-09-16,,,,,,,missing,VIX
2004-09-17,,,,,,,missing,VIX
2004-09-20,,,,,,,missing,VIX
2004-09-21,,,,,,,missing,VIX
2004-09-22,,,,,,,missing,VIX
2004-09-23,,,,,,,missing,VIX
2004-09-24,,,,,,,missing,VIX
2004-09-27,,,,,,,missing,VIX
2004-09-28,,,,,,,missing,VIX
2004-09-29,,,,,,,missing,VIX
2004-09-30,,,,,,,missing,VIX
2004-10-01,,,,,,,missing,VIX
2004-10-04,,,,,,,missing,VIX
2004-10-05,,,,,,,missing,VIX
2004-10-06,,,,,,,missing,VIX
2004-10-07,,,,,,,missing,VIX
2004-10-08,,,,,,,missing,VIX
2004-10-11,,,,,,,missing,VIX
2004-10-12,,,,,,,missing,VIX
2004-10-13,,,,,,,missing,VIX
2004-10-14,,,,,,,missing,VIX
2004-10-15,,,,,,,missing,VIX
2004-10-18,,,,,,,missing,VIX
2004-10-19,,,,,,,missing,VIX
2004-10-20,,,,,,,missing,VIX
2004-10-21,,,,,,,missing,VIX
2004-10-22,,,,,,,missing,VIX
2004-10-25,,,,,,,missing,VIX
2004-10-26,,,,,,,missing,VIX
2004-10-27,,,,,,,missing,VIX
2004-10-28,,,,,,,missing,VIX
2004-10-29,,,,,,,missing,VIX
2004-11-01,,,,,,,missing,VIX
2004-11-02,,,,,,,missing,VIX
2004-11-03,,,,,,,missing,VIX
2004-11-04,,,,,,,missing,VIX
2004-11-05,,,,,,,missing,VIX
2004-11-08,,,,,,,missing,VIX
2004-11-09,,,,,,,missing,VIX
2004-11-10,,,,,,,missing,VIX
2004-11-11,,,,,,,missing,VIX
2004-11-12,,,,,,,missing,VIX
2004-11-15,,,,,,,missing,VIX
2004-11-16,,,,,,,missing,VIX
2004-11-17,,,,,,,missing,VIX
2004-11-18,,,,,,,missing,VIX
2004-11-19,,,,,,,missing,VIX
2004-11-22,,,,,,,missing,VIX
2004-11-23,,,,,,,missing,VIX
2004-11-24,,,,,,,missing,VIX
2004-11-26,,,,,,,missing,VIX
2004-11-29,,,,,,,missing,VIX
2004-11-30,,,,,,,missing,VIX
2004-12-01,,,,,,,missing,VIX
2004-12-02,,,,,,,missing,VIX
2004-12-03,,,,,,,missing,VIX
2004-12-06,,,,,,,missing,VIX
2004-12-07,,,,,,,missing,VIX
2004-12-08,,,,,,,missing,VIX
2004-12-09,,,,,,,missing,VIX
2004-12-10,,,,,,,missing,VIX
2004-12-13,,,,,,,missing,VIX
2004-12-14,,,,,,,missing,VIX
2004-12-15,,,,,,,missing,VIX
2004-12-16,,,,,,,missing,VIX
2004-12-17,,,,,,,missing,VIX
2004-12-20,,,,,,,missing,VIX
2004-12-21,,,,,,,missing,VIX
2004-12-22,,,,,,,missing,VIX
2004-12-23,,,,,,,missing,VIX
2004-12-27,,,,,,,missing,VIX
2004-12-28,,,,,,,missing,VIX
2004-12-29,,,,,,,missing,VIX
2004-12-30,,,,,,,missing,VIX
2004-12-31,,,,,,,missing,VIX
2005-01-03,,,,,,,missing,VIX
2005-01-04,,,,,,,missing,VIX
2005-01-05,,,,,,,missing,VIX
2005-01-06,,,,,,,missing,VIX
2005-01-07,,,,,,,missing,VIX
2005-01-10,,,,,,,missing,VIX
2005-01-11,,,,,,,missing,VIX
2005-01-12,,,,,,,missing,VIX
2005-01-13,,,,,,,missing,VIX
2005-01-14,,,,,,,missing,VIX
2005-01-18,,,,,,,missing,VIX
2005-01-19,,,,,,,missing,VIX
2005-01-20,,,,,,,missing,VIX
2005-01-21,,,,,,,missing,VIX
2005-01-24,,,,,,,missing,VIX
2005-01-25,,,,,,,missing,VIX
2005-01-26,,,,,,,missing,VIX
2005-01-27,,,,,,,missing,VIX
2005-01-28,,,,,,,missing,VIX
2005-01-31,,,,,,,missing,VIX
2005-02-01,,,,,,,missing,VIX
2005-02-02,,,,,,,missing,VIX
2005-02-03,,,,,,,missing,VIX
2005-02-04,,,,,,,missing,VIX
2005-02-07,,,,,,,missing,VIX
2005-02-08,,,,,,,missing,VIX
2005-02-09,,,,,,,missing,VIX
2005-02-10,,,,,,,missing,VIX
2005-02-11,,,,,,,missing,VIX
2005-02-14,,,,,,,missing,VIX
2005-02-15,,,,,,,missing,VIX
2005-02-16,,,,,,,missing,VIX
2005-02-17,,,,,,,missing,VIX
2005-02-18,,,,,,,missing,VIX
2005-02-22,,,,,,,missing,VIX
2005-02-23,,,,,,,missing,VIX
2005-02-24,,,,,,,missing,VIX
2005-02-25,,,,,,,missing,VIX
2005-02-28,,,,,,,missing,VIX
2005-03-01,,,,,,,missing,VIX
2005-03-02,,,,,,,missing,VIX
2005-03-03,,,,,,,missing,VIX
2005-03-04,,,,,,,missing,VIX
2005-03-07,,,,,,,missing,VIX
2005-03-08,,,,,,,missing,VIX
2005-03-09,,,,,,,missing,VIX
2005-03-10,,,,,,,missing,VIX
2005-03-11,,,,,,,missing,VIX
2005-03-14,,,,,,,missing,VIX
2005-03-15,,,,,,,missing,VIX
2005-03-16,,,,,,,missing,VIX
2005-03-17,,,,,,,missing,VIX
2005-03-18,,,,,,,missing,VIX
2005-03-21,,,,,,,missing,VIX
2005-03-22,,,,,,,missing,VIX
2005-03-23,,,,,,,missing,VIX
2005-03-24,,,,,,,missing,VIX
2005-03-28,,,,,,,missing,VIX
2005-03-29,,,,,,,missing,VIX
2005-03-30,,,,,,,missing,VIX
2005-03-31,,,,,,,missing,VIX
2005-04-01,,,,,,,missing,VIX
2005-04-04,,,,,,,missing,VIX
2005-04-05,,,,,,,missing,VIX
2005-04-06,,,,,,,missing,VIX
2005-04-07,,,,,,,missing,VIX
2005-04-08,,,,,,,missing,VIX
2005-04-11,,,,,,,missing,VIX
2005-04-12,,,,,,,missing,VIX
2005-04-13,,,,,,,missing,VIX
2005-04-14,,,,,,,missing,VIX
2005-04-15,,,,,,,missing,VIX
2005-04-18,,,,,,,missing,VIX
2005-04-19,,,,,,,missing,VIX
2005-04-20,,,,,,,missing,VIX
2005-04-21,,,,,,,missing,VIX
2005-04-22,,,,,,,missing,VIX
2005-04-25,,,,,,,missing,VIX
2005-04-26,,,,,,,missing,VIX
2005-04-27,,,,,,,missing,VIX
2005-04-28,,,,,,,missing,VIX
2005-04-29,,,,,,,missing,VIX
2005-05-02,,,,,,,missing,VIX
2005-05-03,,,,,,,missing,VIX
2005-05-04,,,,,,,missing,VIX
2005-05-05,,,,,,,missing,VIX
2005-05-06,,,,,,,missing,VIX
2005-05-09,,,,,,,missing,VIX
2005-05-10,,,,,,,missing,VIX
2005-05-11,,,,,,,missing,VIX
2005-05-12,,,,,,,missing,VIX
2005-05-13,,,,,,,missing,VIX
2005-05-16,,,,,,,missing,VIX
2005-05-17,,,,,,,missing,VIX
2005-05-18,,,,,,,missing,VIX
2005-05-19,,,,,,,missing,VIX
2005-05-20,,,,,,,missing,VIX
2005-05-23,,,,,,,missing,VIX
2005-05-24,,,,,,,missing,VIX
2005-05-25,,,,,,,missing,VIX
2005-05-26,,,,,,,missing,VIX
2005-05-27,,,,,,,missing,VIX
2005-05-31,,,,,,,missing,VIX
2005-06-01,,,,,,,missing,VIX
2005-06-02,,,,,,,missing,VIX
2005-06-03,,,,,,,missing,VIX
2005-06-06,,,,,,,missing,VIX
2005-06-07,,,,,,,missing,VIX
2005-06-08,,,,,,,missing,VIX
2005-06-09,,,,,,,missing,VIX
2005-06-10,,,,,,,missing,VIX
2005-06-13,,,,,,,missing,VIX
2005-06-14,,,,,,,missing,VIX
2005-06-15,,,,,,,missing,VIX
2005-06-16,,,,,,,missing,VIX
2005-06-17,,,,,,,missing,VIX
2005-06-20,,,,,,,missing,VIX
2005-06-21,,,,,,,missing,VIX
2005-06-22,,,,,,,missing,VIX
2005-06-23,,,,,,,missing,VIX
2005-06-24,,,,,,,missing,VIX
2005-06-27,,,,,,,missing,VIX
2005-06-28,,,,,,,missing,VIX
2005-06-29,,,,,,,missing,VIX
2005-06-30,,,,,,,missing,VIX
2005-07-01,,,,,,,missing,VIX
2005-07-05,,,,,,,missing,VIX
2005-07-06,,,,,,,missing,VIX
2005-07-07,,,,,,,missing,VIX
2005-07-08,,,,,,,missing,VIX
2005-07-11,,,,,,,missing,VIX
2005-07-12,,,,,,,missing,VIX
2005-07-13,,,,,,,missing,VIX
2005-07-14,,,,,,,missing,VIX
2005-07-15,,,,,,,missing,VIX
2005-07-18,,,,,,,missing,VIX
2005-07-19,,,,,,,missing,VIX
2005-07-20,,,,,,,missing,VIX
2005-07-21,,,,,,,missing,VIX
2005-07-22,,,,,,,missing,VIX
2005-07-25,,,,,,,missing,VIX
2005-07-26,,,,,,,missing,VIX
2005-07-27,,,,,,,missing,VIX
2005-07-28,,,,,,,missing,VIX
2005-07-29,,,,,,,missing,VIX
2005-08-01,,,,,,,missing,VIX
2005-08-02,,,,,,,missing,VIX
2005-08-03,,,,,,,missing,VIX
2005-08-04,,,,,,,missing,VIX
2005-08-05,,,,,,,missing,VIX
2005-08-08,,,,,,,missing,VIX
2005-08-09,,,,,,,missing,VIX
2005-08-10,,,,,,,missing,VIX
2005-08-11,,,,,,,missing,VIX
2005-08-12,,,,,,,missing,VIX
2005-08-15,,,,,,,missing,VIX
2005-08-16,,,,,,,missing,VIX
2005-08-17,,,,,,,missing,VIX
2005-08-18,,,,,,,missing,VIX
2005-08-19,,,,,,,missing,VIX
2005-08-22,,,,,,,missing,VIX
2005-08-23,,,,,,,missing,VIX
2005-08-24,,,,,,,missing,VIX
2005-08-25,,,,,,,missing,VIX
2005-08-26,,,,,,,missing,VIX
2005-08-29,,,,,,,missing,VIX
2005-08-30,,,,,,,missing,VIX
2005-08-31,,,,,,,missing,VIX
2005-09-01,,,,,,,missing,VIX
2005-09-02,,,,,,,missing,VIX
2005-09-06,,,,,,,missing,VIX
2005-09-07,,,,,,,missing,VIX
2005-09-08,,,,,,,missing,VIX
2005-09-09,,,,,,,missing,VIX
2005-09-12,,,,,,,missing,VIX
2005-09-13,,,,,,,missing,VIX
2005-09-14,,,,,,,missing,VIX
2005-09-15,,,,,,,missing,VIX
2005-09-16,,,,,,,missing,VIX
2005-09-19,,,,,,,missing,VIX
2005-09-20,,,,,,,missing,VIX
2005-09-21,,,,,,,missing,VIX
2005-09-22,,,,,,,missing,VIX
2005-09-23,,,,,,,missing,VIX
2005-09-26,,,,,,,missing,VIX
2005-09-27,,,,,,,missing,VIX
2005-09-28,,,,,,,missing,VIX
2005-09-29,,,,,,,missing,VIX
2005-09-30,,,,,,,missing,VIX
2005-10-03,,,,,,,missing,VIX
2005-10-04,,,,,,,missing,VIX
2005-10-05,,,,,,,missing,VIX
2005-10-06,,,,,,,missing,VIX
2005-10-07,,,,,,,missing,VIX
2005-10-10,,,,,,,missing,VIX
2005-10-11,,,,,,,missing,VIX
2005-10-12,,,,,,,missing,VIX
2005-10-13,,,,,,,missing,VIX
2005-10-14,,,,,,,missing,VIX
2005-10-17,,,,,,,missing,VIX
2005-10-18,,,,,,,missing,VIX
2005-10-19,,,,,,,missing,VIX
2005-10-20,,,,,,,missing,VIX
2005-10-21,,,,,,,missing,VIX
2005-10-24,,,,,,,missing,VIX
2005-10-25,,,,,,,missing,VIX
2005-10-26,,,,,,,missing,VIX
2005-10-27,,,,,,,missing,VIX
2005-10-28,,,,,,,missing,VIX
2005-10-31,,,,,,,missing,VIX
2005-11-01,,,,,,,missing,VIX
2005-11-02,,,,,,,missing,VIX
2005-11-03,,,,,,,missing,VIX
2005-11-04,,,,,,,missing,VIX
2005-11-07,,,,,,,missing,VIX
2005-11-08,,,,,,,missing,VIX
2005-11-09,,,,,,,missing,VIX
2005-11-10,,,,,,,missing,VIX
2005-11-11,,,,,,,missing,VIX
2005-11-14,,,,,,,missing,VIX
2005-11-15,,,,,,,missing,VIX
2005-11-16,,,,,,,missing,VIX
2005-11-17,,,,,,,missing,VIX
2005-11-18,,,,,,,missing,VIX
2005-11-21,,,,,,,missing,VIX
2005-11-22,,,,,,,missing,VIX
2005-11-23,,,,,,,missing,VIX
2005-11-25,,,,,,,missing,VIX
2005-11-28,,,,,,,missing,VIX
2005-11-29,,,,,,,missing,VIX
2005-11-30,,,,,,,missing,VIX
2005-12-01,,,,,,,missing,VIX
2005-12-02,,,,,,,missing,VIX
2005-12-05,,,,,,,missing,VIX
2005-12-06,,,,,,,missing,VIX
2005-12-07,,,,,,,missing,VIX
2005-12-08,,,,,,,missing,VIX
2005-12-09,,,,,,,missing,VIX
2005-12-12,,,,,,,missing,VIX
2005-12-13,,,,,,,missing,VIX
2005-12-14,,,,,,,missing,VIX
2005-12-15,,,,,,,missing,VIX
2005-12-16,,,,,,,missing,VIX
2005-12-19,,,,,,,missing,VIX
2005-12-20,1.0046812734219033,1.0,0.004681273421903498,-0.004659461209980509,0.0,0.0,synthetic_calibrated_VIX,VIX
2005-12-21,0.9490207167263999,0.9656932838095235,-0.05097928327360013,0.01756818032448737,-0.034306716190476254,-0.03430671619047654,synthetic_calibrated_VIX,VIX
2005-12-22,0.9892137502962652,0.9453766759774798,0.02435604231807109,-0.044315067704686184,-0.021038365050958734,-0.021038365050958574,synthetic_calibrated_VIX,VIX
2005-12-23,0.9384573852549557,0.9094088476036214,-0.007319083385857628,-0.03095349677859105,-0.03804602894044234,-0.03804602894044229,synthetic_calibrated_VIX,VIX
2005-12-27,0.9245028485868835,0.9237357217864359,0.016597596364975153,-0.0008297722409618125,0.01575405189928287,0.015754051899282917,synthetic_calibrated_VIX,VIX
2005-12-28,0.9337208105934665,0.923334926953536,0.010809464841004646,-0.011123114663503353,-0.00043388473937638027,-0.00043388473937633343,synthetic_calibrated_VIX,VIX
2005-12-29,0.9048334828572284,0.9106202637902913,-0.02003763050245644,0.006395409810421304,-0.013770369550728348,-0.01377036955072819,synthetic_calibrated_VIX,VIX
2005-12-30,0.9344373565227719,0.9324261680874371,0.026154802039377367,-0.002152298836616384,0.02394621025275962,0.02394621025275967,synthetic_calibrated_VIX,VIX
2006-01-03,0.9798413040226676,0.8875084294831563,0.050851356984636054,-0.09423247842323579,-0.0481729708384469,-0.04817297083844674,synthetic_calibrated_VIX,VIX
2006-01-04,0.869510288952782,0.8579730460082353,-0.02027940234985215,-0.013268667537496226,-0.03327898923970923,-0.03327898923970907,synthetic_calibrated_VIX,VIX
2006-01-05,0.8663071844305447,0.8557132905661013,0.00971375320132073,-0.012228796037755396,-0.002633830343094659,-0.002633830343094834,synthetic_calibrated_VIX,VIX
2006-01-06,0.8475858835865246,0.8236279336169388,-0.009497815529077469,-0.028266103097669415,-0.037495452393799415,-0.037495452393799256,synthetic_calibrated_VIX,VIX
2006-01-09,0.8373366638887537,0.7950973098137152,0.016644324108354924,-0.050444887817130524,-0.03464018477121349,-0.034640184771213556,synthetic_calibrated_VIX,VIX
2006-01-10,0.8225132477233582,0.7736587685220614,0.03448123590817631,-0.05939658642158241,-0.02696341822194919,-0.02696341822194903,synthetic_calibrated_VIX,VIX
2006-01-11,0.7742524138982856,0.7501660994495765,0.0007673219775667928,-0.031109124125860865,-0.030365672862938724,-0.030365672862938675,synthetic_calibrated_VIX,VIX
2006-01-12,0.7499889115386258,0.7652747060611222,-0.00023619823807108364,0.02038136069390295,0.02014034841434626,0.02014034841434653,synthetic_calibrated_VIX,VIX
2006-01-13,0.7823237843958025,0.7650832085540686,0.022278376901324837,-0.02203764756436355,-0.00025023368149628376,-0.0002502336814962369,synthetic_calibrated_VIX,VIX
2006-01-17,0.8285283653780932,0.790925333229467,0.08292582573329454,-0.04538532863804401,0.033776881241763985,0.03377688124176381,synthetic_calibrated_VIX,VIX
2006-01-18,0.8459930112366973,0.8053306756262901,0.06962436995459576,-0.048064623549272434,0.018213277273600288,0.01821327727360056,synthetic_calibrated_VIX,VIX
2006-01-19,0.7969226795578626,0.7867973268028593,-0.010440426923870483,-0.012705564811658854,-0.023013340214586946,-0.023013340214586786,synthetic_calibrated_VIX,VIX
2006-01-20,0.7270771503680749,0.8410818205090829,-0.07590287155328379,0.15679858744466713,0.06899425284883427,0.06899425284883454,synthetic_calibrated_VIX,VIX
2006-01-23,0.8646210375735909,0.8556724538138535,0.027986833730706984,-0.010349717819554849,0.01734746007937677,0.017347460079376598,synthetic_calibrated_VIX,VIX
2006-01-24,0.8647503989421231,0.8439729247543526,0.010609135642742684,-0.024027134550256735,-0.013672906037064217,-0.013672906037064059,synthetic_calibrated_VIX,VIX
2006-01-25,0.8232459497738632,0.8251866053957843,-0.024558815066872186,0.0023573217972758798,-0.022259386299668997,-0.022259386299668726,synthetic_calibrated_VIX,VIX
2006-01-26,0.8209241422617303,0.7748237099971709,-0.0051654536151972685,-0.0561567505342796,-0.06103212905941185,-0.0610321290594118,synthetic_calibrated_VIX,VIX
2006-01-27,0.7668414456251215,0.7455133743649868,-0.010302039378839556,-0.0278128828088422,-0.03782839277374599,-0.037828392773746056,synthetic_calibrated_VIX,VIX
2006-01-30,0.7392489936270168,0.7257704512046395,-0.008402774454993267,-0.018232750451572244,-0.026482319216826693,-0.026482319216826866,synthetic_calibrated_VIX,VIX
2006-01-31,0.7093564508861597,0.7248781977512824,-0.022615966647905883,0.02188144880579035,-0.0012293879585152847,-0.0012293879585151268,synthetic_calibrated_VIX,VIX
2006-02-01,0.7575591329063892,0.7310118599012354,0.04508472631193716,-0.03504316937386087,0.00846164523775301,0.008461645237752835,synthetic_calibrated_VIX,VIX
2006-02-02,0.7182549058970724,0.74217695799709,-0.01745109033646397,0.03330579701386083,0.015273484204980156,0.015273484204980203,synthetic_calibrated_VIX,VIX
2006-02-03,0.764900323954341,0.7450753159880186,0.030617180596086424,-0.025918420146343046,0.0039052114993575835,0.0039052114993576303,synthetic_calibrated_VIX,VIX
2006-02-06,0.7734447254309119,0.73589772228344,0.03807589492516428,-0.04854516672352149,-0.012317672465646459,-0.012317672465646634,synthetic_calibrated_VIX,VIX
2006-02-07,0.7344346771857324,0.7487896331351238,-0.0019881092893830887,0.019545585734592308,0.01751861768464375,0.0175186176846438,synthetic_calibrated_VIX,VIX
2006-02-08,0.7470887464820617,0.7144535498586128,-0.0022715146922382967,-0.04368315916565957,-0.045855446920049885,-0.045855446920049614,synthetic_calibrated_VIX,VIX
2006-02-09,0.6757471148736598,0.695631515539525,-0.05417627918933676,0.029425801795073703,-0.026344657847683188,-0.02634465784768314,synthetic_calibrated_VIX,VIX
2006-02-10,0.7212199704232101,0.6952595912142214,0.036784496262851185,-0.03599509202962747,-0.0005346570950209208,-0.0005346570950212071,synthetic_calibrated_VIX,VIX
2006-02-13,0.7279365012804787,0.7270265344117214,0.04699958185285791,-0.0012500635249869108,0.04569076586490701,0.04569076586490706,synthetic_calibrated_VIX,VIX
2006-02-14,0.7349518541838688,0.6970115802028546,0.01090100484236145,-0.051622801908766114,-0.04128453747998866,-0.04128453747998839,synthetic_calibrated_VIX,VIX
2006-02-15,0.7124661817743162,0.7045304134342498,0.022172661129910898,-0.011138449154601604,0.010787242916691706,0.01078724291669153,synthetic_calibrated_VIX,VIX
2006-02-16,0.7138197375019046,0.6754082072945097,0.013185128548778735,-0.05381124699888595,-0.04133562665915785,-0.04133562665915769,synthetic_calibrated_VIX,VIX
2006-02-17,0.6654088461797253,0.6701634535050766,-0.014804915022929577,0.00714539241948553,-0.007765309531020217,-0.007765309531019948,synthetic_calibrated_VIX,VIX
2006-02-21,0.6754813249696906,0.6584314481258414,0.00793518571745544,-0.02524107804847786,-0.01750618497304606,-0.017506184973045902,synthetic_calibrated_VIX,VIX
2006-02-22,0.647548252003618,0.6186248443276056,-0.01652897374996498,-0.04466602695091648,-0.0604567171138946,-0.06045671711389444,synthetic_calibrated_VIX,VIX
2006-02-23,0.6217656132897595,0.6263967935720893,0.00507701717923692,0.0074484342384684155,0.012563267246292706,0.012563267246292531,synthetic_calibrated_VIX,VIX
2006-02-24,0.6366527257258794,0.6072291630869072,0.01637290014737247,-0.04621603183340639,-0.030599822160450256,-0.030599822160450096,synthetic_calibrated_VIX,VIX
2006-02-27,0.6191147310682762,0.5937979609040723,0.019573447231927332,-0.040891887874352495,-0.022118835851947564,-0.022118835851947738,synthetic_calibrated_VIX,VIX
2006-02-28,0.5905052638867911,0.6158720500927776,-0.005545147060235678,0.042957764743735805,0.03717441056061727,0.0371744105606171,synthetic_calibrated_VIX,VIX
