date,nasdaq100_pe_ttm,source
2020-09-01,34.1,trendonify_nasdaq100_pe_monthly
2020-10-01,33.01,trendonify_nasdaq100_pe_monthly
2020-11-01,36.64,trendonify_nasdaq100_pe_monthly
2020-12-01,35.54,trendonify_nasdaq100_pe_monthly
2021-01-01,35.64,trendonify_nasdaq100_pe_monthly
2021-02-01,35.6,trendonify_nasdaq100_pe_monthly
2021-03-01,32.06,trendonify_nasdaq100_pe_monthly
2021-04-01,33.94,trendonify_nasdaq100_pe_monthly
2021-05-01,33.52,trendonify_nasdaq100_pe_monthly
2021-06-01,30.28,trendonify_nasdaq100_pe_monthly
2021-07-01,31.13,trendonify_nasdaq100_pe_monthly
2021-08-01,32.42,trendonify_nasdaq100_pe_monthly
2021-09-01,29.19,trendonify_nasdaq100_pe_monthly
2021-10-01,31.51,trendonify_nasdaq100_pe_monthly
2021-11-01,32.07,trendonify_nasdaq100_pe_monthly
2021-12-01,31.08,trendonify_nasdaq100_pe_monthly
2022-01-01,28.42,trendonify_nasdaq100_pe_monthly
2022-02-01,27.11,trendonify_nasdaq100_pe_monthly
2022-03-01,28.65,trendonify_nasdaq100_pe_monthly
2022-04-01,24.82,trendonify_nasdaq100_pe_monthly
2022-05-01,24.41,trendonify_nasdaq100_pe_monthly
2022-06-01,23.85,trendonify_nasdaq100_pe_monthly
2022-07-01,26.85,trendonify_nasdaq100_pe_monthly
2022-08-01,25.46,trendonify_nasdaq100_pe_monthly
2022-09-01,24.04,trendonify_nasdaq100_pe_monthly
2022-10-01,24.99,trendonify_nasdaq100_pe_monthly
2022-11-01,26.36,trendonify_nasdaq100_pe_monthly
2022-12-01,23.97,trendonify_nasdaq100_pe_monthly
2023-01-01,28.4,trendonify_nasdaq100_pe_monthly
2023-02-01,28.26,trendonify_nasdaq100_pe_monthly
2023-03-01,30.81,trendonify_nasdaq100_pe_monthly
2023-04-01,30.96,trendonify_nasdaq100_pe_monthly
2023-05-01,33.33,trendonify_nasdaq100_pe_monthly
2023-06-01,32.66,trendonify_nasdaq100_pe_monthly
2023-07-01,33.91,trendonify_nasdaq100_pe_monthly
2023-08-01,33.36,trendonify_nasdaq100_pe_monthly
2023-09-01,31.67,trendonify_nasdaq100_pe_monthly
2023-10-01,29.61,trendonify_nasdaq100_pe_monthly
2023-11-01,32.77,trendonify_nasdaq100_pe_monthly
2023-12-01,34.57,trendonify_nasdaq100_pe_monthly
2024-01-01,30.49,trendonify_nasdaq100_pe_monthly
2024-02-01,32.11,trendonify_nasdaq100_pe_monthly
2024-03-01,32.48,trendonify_nasdaq100_pe_monthly
2024-04-01,29.9,trendonify_nasdaq100_pe_monthly
2024-05-01,31.79,trendonify_nasdaq100_pe_monthly
2024-06-01,33.75,trendonify_nasdaq100_pe_monthly
2024-07-01,32.72,trendonify_nasdaq100_pe_monthly
2024-08-01,33.08,trendonify_nasdaq100_pe_monthly
2024-09-01,33.9,trendonify_nasdaq100_pe_monthly
2024-10-01,34.42,trendonify_nasdaq100_pe_monthly
2024-11-01,35.6,trendonify_nasdaq100_pe_monthly
2024-12-01,34.18,trendonify_nasdaq100_pe_monthly
2025-01-01,35.09,trendonify_nasdaq100_pe_monthly
2025-02-01,33.95,trendonify_nasdaq100_pe_monthly
2025-03-01,31.13,trendonify_nasdaq100_pe_monthly
2025-04-01,32.9,trendonify_nasdaq100_pe_monthly
2025-05-01,34.57,trendonify_nasdaq100_pe_monthly
2025-06-01,35.61,trendonify_nasdaq100_pe_monthly
2025-07-01,35.12,trendonify_nasdaq100_pe_monthly
2025-08-01,34.94,trendonify_nasdaq100_pe_monthly
2025-09-01,35.31,trendonify_nasdaq100_pe_monthly
2025-10-01,34.3,trendonify_nasdaq100_pe_monthly
2025-11-01,33.21,trendonify_nasdaq100_pe_monthly
2025-12-01,34.21,trendonify_nasdaq100_pe_monthly
2026-01-01,34.29,trendonify_nasdaq100_pe_monthly
2026-02-01,34.61,trendonify_nasdaq100_pe_monthly
2026-03-01,32.45,trendonify_nasdaq100_pe_monthly
2026-04-01,34.51,trendonify_nasdaq100_pe_monthly
